Year,All People,Children,Working Age,Pensioners
94/95-96/97,29,41,25,30
95/96-97/98,30,42,26,31
96/97-98/99,30,42,25,31
97/98-99/00,29,42,24,32
98/99-00/01,28,41,23,30
99/00-01/02,28,40,23,30
00/01-02/03,27,38,22,27
01/02-03/04,26,38,23,26
02/03-04/05,27,39,23,23
03/04-05/06,27,40,24,21
04/05-06/07,27,40,24,21
05/06-07/08,27,40,24,22
06/07-08/09,29,40,26,23
07/08-09/10,29,39,27,21
08/09-10/11,29,38,28,20
09/10-11/12,28,37,27,18
10/11-12/13,28,37,27,19
11/12-13/14,27,38,26,18
12/13-14/15,27,37,26,18
13/14-15/16,27,37,25,19
14/15-16/17,28,37,26,21
