Year,London,UK,Notes
1997,22.39776952,27.53977968,Data from 08/03/2018
1998,22.04301075,27.3262662,null
1999,21.875,27.01475596,null
2000,23.87202625,26.71081678,null
2001,23.359375,26.37130802,null
2002,23.26621924,26.91532258,null
2003,22.57142857,25.07345739,null
2004,20.37815126,24.66793169,null
2005,19.79865772,22.65552461,null
2006,18.79549967,22.24215247,null
2007,18.32158873,21.8641115,null
2008,19.27562922,22.47284879,null
2009,17.5909362,22.01612903,null
2010,17.0990566,19.8541329,null
2011,18.87666474,20.2256245,null
2012,15.47897196,19.6,null
2013,16.97459584,19.76653696,null
2014,15.61403509,19.18876755,null
2015,16.25874126,19.30769231,null
2016,16.15472127,18.20224719,null
2017,16.7752443,18.36734694,2017 data is provisional
