Colour,Theme,Muted,Hex,endOfPaletteHex
blue,light,FALSE,#008bc1,#edf1f3
pink,light,FALSE,#ee266d,#f5eef0
green,light,FALSE,#4c9e4c,#eff2ef
red,light,FALSE,#dd072b,#f4edee
yellow,light,FALSE,#e5e507,#f4f4ed
orange,light,FALSE,#ff7f0e,#f5f1ed
purple,light,FALSE,#c617a1,#f3eef2
mayoral,light,FALSE,#9e0059,#f2edf0
context data,light,FALSE,#cccccc,
highlight area,light,FALSE,#000000,
strong grid,light,FALSE,#666666,
light grid,light,FALSE,#d8d8d8,
headlines,light,FALSE,#353d42,
body text,light,FALSE,#666666,
axis text & labels,light,FALSE,#666666,
highlighted labels,light,FALSE,#353d42,
label,light,FALSE,#000000,
background,light,FALSE,#ffffff,
blue,light,TRUE,#1996c6,
green,light,TRUE,#5da75d,
red,light,TRUE,#df1f3f,
purple,light,TRUE,#af3178,
mid point,light,FALSE,#e0e0e0,
blue,dark,FALSE,#008bc1,#13181a
pink,dark,FALSE,#ee266d,#1b1517
green,dark,FALSE,#4c9e4c,#161916
red,dark,FALSE,#dd072b,#1b1415
yellow,dark,FALSE,#e5e507,#1b1b14
orange,dark,FALSE,#ff7f0e,#1c1814
purple,dark,FALSE,#c617a1,#1a1419
mayoral,dark,FALSE,#9e0059,#191316
context data,dark,FALSE,#ffffff,
highlight area,dark,FALSE,#ffffff,
strong grid,dark,FALSE,#ffffff,
light grid,dark,FALSE,#4e5254,
headlines,dark,FALSE,#ffffff,
body text,dark,FALSE,#ffffff,
axis text & labels,dark,FALSE,#ffffff,
highlighted labels,dark,FALSE,#ffffff,
label,dark,FALSE,#ffffff,
background,dark,FALSE,#121516,
blue,dark,TRUE,#027fb0,
green,dark,TRUE,#469046,
red,dark,TRUE,#c90829,
purple,dark,TRUE,#900252,
mid point,dark,FALSE,#212121,
