colour,palette,hex,dark_end,light_end
blue,core,#6da7de,#252c35,#dbe5f1
ldndkpink,core,#9e0059,#63193b,#e8cad3
yellow,core,#dee000,#36351a,#f3ecaa
red,core,#d82222,#5d221a,#f9d0c7
green,core,#5ea15d,#212b20,#d8e4d6
purple,core,#943fa6,#432648,#e3d1e5
turquoise,core,#63c5b5,#23312f,#bfe2db
pink,core,#ff38ba,#3c1f30,#fcd6e9
orange,core,#eb861e,#3a2718,#fadfcb
ldnpink,core,#ee266d,#642434,#fad2d8
blue,light,#7ab5e5,,
purple,light,#964a92,,
yellow,light,#ddd82c,,
red,light,#d84545,,
green,light,#65aa63,,
turquoise,light,#49bf9a,,
orange,light,#d6793a,,
blue,dark,#3681bf,,
magenta,dark,#89105d,,
yellow,dark,#d3c913,,
red,dark,#af2828,,
green,dark,#73a072,,
turquoise,dark,#56b2a1,,
purple,dark,#884299,,
orange,dark,#b76325,,
pink,brand,#ee266d,,
cyan,brand,#00aeef,,
dkpink,brand,#9e0059,,
mustard,brand,#dca000,,
red,brand,#e0001b,,
