Colour,Theme,Muted,Hex,endOfPaletteHex
Blue,Light,FALSE,#008bc1,#edf1f3
Pink,Light,FALSE,#ee266d,#f5eef0
Green,Light,FALSE,#4c9e4c,#eff2ef
Red,Light,FALSE,#dd072b,#f4edee
Yellow,Light,FALSE,#e5e507,#f4f4ed
Orange,Light,FALSE,#ff7f0e,#f5f1ed
Purple,Light,FALSE,#c617a1,#f3eef2
Mayoral,Light,FALSE,#9e0059,#f2edf0
Context Data,Light,FALSE,#cccccc,
Highlight Area,Light,FALSE,#f5f5f5,
Strong Grid,Light,FALSE,#666666,
Light Grid,Light,FALSE,#d8d8d8,
Headlines,Light,FALSE,#353d42,
Body Text,Light,FALSE,#666666,
Axis Text & Labels,Light,FALSE,#666666,
Highlighted Labels,Light,FALSE,#353d42,
Label,Light,FALSE,#000000,
Background,Light,FALSE,#ffffff,
Blue,Light,TRUE,#1996c6,
Green,Light,TRUE,#5da75d,
Red,Light,TRUE,#df1f3f,
Purple,Light,TRUE,#af3178,
Mid Point,Light,FALSE,#e0e0e0,
Blue,Dark,FALSE,#008bc1,#13181a
Pink,Dark,FALSE,#ee266d,#1b1517
Green,Dark,FALSE,#4c9e4c,#161916
Red,Dark,FALSE,#dd072b,#1b1415
Yellow,Dark,FALSE,#e5e507,#1b1b14
Orange,Dark,FALSE,#ff7f0e,#1c1814
Purple,Dark,FALSE,#c617a1,#1a1419
Mayoral,Dark,FALSE,#9e0059,#191316
Context Data,Dark,FALSE,#ffffff,
Highlight Area,Dark,FALSE,#1B1E1F,
Strong Grid,Dark,FALSE,#ffffff,
Light Grid,Dark,FALSE,#4e5254,
Headlines,Dark,FALSE,#ffffff,
Body Text,Dark,FALSE,#ffffff,
Axis Text & Labels,Dark,FALSE,#ffffff,
Highlighted Labels,Dark,FALSE,#ffffff,
Label,Dark,FALSE,#ffffff,
Background,Dark,FALSE,#121516,
Blue,Dark,TRUE,#027fb0,
Green,Dark,TRUE,#469046,
Red,Dark,TRUE,#c90829,
Purple,Dark,TRUE,#900252,
Mid Point,Dark,FALSE,#212121,
